condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,tracking_count,tracking_complete,tracking_workspace_filter,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,32,36,0.8888888888888888,1.6234371879281513,position,,,41,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 51, 'included_segment_count': 46, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,29,36,0.8055555555555556,22.23060935230147,position,,,206,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n1,3mm,3.0,0.0,one_leg,35,36,0.9722222222222222,2.1194581611564662,position,,,39,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 48, 'included_segment_count': 43, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n2,6mm,6.0,0.0,one_leg,29,36,0.8055555555555556,1.790824358412084,position,,,43,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 48, 'included_segment_count': 43, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n3,12mm,12.0,0.0,one_leg,28,36,0.7777777777777778,2.6324695122636843,position,,,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 8, 'final_segment_count': 46, 'included_segment_count': 38, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n4,24mm,24.0,0.0,one_leg,32,36,0.8888888888888888,3.9345004908396675,position,,,36,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 12, 'final_segment_count': 50, 'included_segment_count': 38, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,one_leg,31,36,0.8611111111111112,2.302523322628381,position,,,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 44, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,29,36,0.8055555555555556,23.581456987027476,position,,,201,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,one_leg,31,36,0.8611111111111112,2.6973145808384524,position,,,35,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 40, 'included_segment_count': 36, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,one_leg,30,36,0.8333333333333334,2.3841048530972806,position,,,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 44, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
