condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,apply_to,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,skill_state_count,tracking_complete,tracking_rollouts_per_task,summary_json,one_leg_success_rate,round_table_success_rate,lamp_success_rate,tracking_source,tracking_unavailable_reason
rgbd+GP,gp,point,n0,0mm,0.0,0.0,point,57,108,0.5277777777777778,3.490319811631372,position,,,122,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/2026-08-04T00-22-56.json,0.8888888888888888,0.2777777777777778,0.4166666666666667,saved_rollouts_8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,point,55,108,0.5092592592592593,16.376968832266076,position,,,603,False,36,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/2026-08-10T19-28-17.json,0.8055555555555556,0.4166666666666667,0.3055555555555556,full_evaluator_36_pre_workspace_filter,workspace filtering unavailable
rgbd+GP,gp,point,n1,3mm,3.0,0.0,point,58,108,0.5370370370370371,3.3979773387084378,position,,,122,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/2026-08-04T01-16-44.json,0.9722222222222222,0.3333333333333333,0.3055555555555556,saved_rollouts_8,
rgbd+GP,gp,point,n2,6mm,6.0,0.0,point,55,108,0.5092592592592593,3.570292795018448,position,,,132,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/2026-08-04T02-12-17.json,0.8055555555555556,0.3888888888888889,0.3333333333333333,saved_rollouts_8,
rgbd+GP,gp,point,n3,12mm,12.0,0.0,point,56,108,0.5185185185185185,3.721421711885197,position,,,105,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/2026-08-04T03-10-28.json,0.7777777777777778,0.4166666666666667,0.3611111111111111,saved_rollouts_8,
rgbd+GP,gp,point,n4,24mm,24.0,0.0,point,60,108,0.5555555555555556,4.905711887642758,position,,,105,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/2026-08-04T04-06-43.json,0.8888888888888888,0.4444444444444444,0.3333333333333333,saved_rollouts_8,
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,point,56,108,0.5185185185185185,3.2827755342134495,position,,,124,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_absurd-voice-2_latest_3000/2026-08-04T05-05-14.json,0.8611111111111112,0.3055555555555556,0.3888888888888889,saved_rollouts_8,
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,point,56,108,0.5185185185185185,16.754949751129836,position,,,617,False,36,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_absurd-voice-2_latest_3000/2026-08-11T11-17-08.json,0.8055555555555556,0.3888888888888889,0.3611111111111111,full_evaluator_36_pre_workspace_filter,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,point,59,108,0.5462962962962963,3.6610576016159317,position,,,119,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_absurd-voice-2_latest_3000/2026-08-04T06-04-19.json,0.8611111111111112,0.3888888888888889,0.3888888888888889,saved_rollouts_8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,point,60,108,0.5555555555555556,3.308638310488626,position,,,129,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_absurd-voice-2_latest_3000/2026-08-04T07-02-09.json,0.8333333333333334,0.3611111111111111,0.4722222222222222,saved_rollouts_8,
