condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,skill_state,skill_type,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_count,tracking_complete,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,leg-top-insert,insert,32,32,1.0,0.5188585740863205,,,7,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,leg-top-insert,insert,35,30,0.8571428571428571,17.802822381577172,,,35,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,leg-top-pick,pick,35,35,1.0,1.0469344428878247,,,8,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,leg-top-pick,pick,35,35,1.0,22.9152494630236,,,35,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,leg-top-place,place,35,32,0.9142857142857143,1.0201672215910842,,,8,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,leg-top-place,place,35,35,1.0,16.091986655240635,,,35,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,leg-top-screw,screw,32,32,1.0,2.079451476635548,,,2,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,leg-top-screw,screw,30,29,0.9666666666666667,45.22477364039943,,,30,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,top-leg-pick,pick,36,36,1.0,2.2050030711621638,,,8,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,top-leg-pick,pick,36,35,0.9722222222222222,23.053775929670106,,,36,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
