condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,skill_type,n_skill_states,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_complete,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+GP,gp,point,n0,0mm,0.0,0.0,push,24,108,107,0.9907407407407407,6.122098436598622,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,push,107,107,107,1.0,12.026092527964364,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,pick,39,166,161,0.9698795180722891,3.095348846395308,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,pick,171,171,162,0.9473684210526315,22.414263450941572,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,place,26,125,104,0.832,2.6895081302684316,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,place,126,126,110,0.873015873015873,10.515006127633667,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,insert,21,95,94,0.9894736842105263,1.0619942524906882,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,insert,104,104,96,0.9230769230769231,10.041109030263355,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n0,0mm,0.0,0.0,screw,12,94,71,0.7553191489361702,5.495079903496643,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,screw,95,95,75,0.7894736842105263,25.121212042358074,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n1,3mm,3.0,0.0,push,23,108,106,0.9814814814814815,7.268319325424848,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,n1,3mm,3.0,0.0,pick,37,168,160,0.9523809523809523,1.7422714844747222,,,True,saved_rollouts_8,8,
rgbd+GP,gp,point,n1,3mm,3.0,0.0,place,26,124,106,0.8548387096774194,2.2576051478395494,,,True,saved_rollouts_8,8,
