condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,skill_type,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_count,tracking_complete
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,push,36,35,0.9722222222222222,3.074146731006286,,,8,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,push,35,35,1.0,11.556409611415638,,,35,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,one_leg,push,36,35,0.9722222222222222,5.298340555412744,,,8,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,one_leg,push,36,33,0.9166666666666666,3.261936123678881,,,8,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,one_leg,push,36,32,0.8888888888888888,3.841248775721468,,,7,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,one_leg,push,36,36,1.0,5.528147427436835,,,7,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,pick,71,71,1.0,1.625968757024994,,,16,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,pick,71,70,0.9859154929577465,22.985488234844365,,,71,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,one_leg,pick,71,71,1.0,1.5252222333700127,,,15,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,one_leg,pick,69,69,1.0,1.4613830522444875,,,16,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,one_leg,pick,68,68,1.0,2.662583558547562,,,14,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,one_leg,pick,72,72,1.0,3.273862978128116,,,12,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,place,35,32,0.9142857142857143,1.0201672215910842,,,8,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,place,35,35,1.0,16.091986655240635,,,35,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,one_leg,place,35,35,1.0,1.0218400397973484,,,7,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,one_leg,place,33,32,0.9696969696969697,1.4622677269897366,,,8,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,one_leg,place,32,29,0.90625,2.0818577719144007,,,8,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,one_leg,place,36,34,0.9444444444444444,3.390214967643934,,,8,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,insert,32,32,1.0,0.5188585740863205,,,7,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,insert,35,30,0.8571428571428571,17.802822381577172,,,35,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,one_leg,insert,35,35,1.0,0.872076131304538,,,7,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,one_leg,insert,32,29,0.90625,1.0831469999809777,,,8,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,one_leg,insert,29,28,0.9655172413793104,1.8735747211249623,,,7,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,one_leg,insert,34,33,0.9705882352941176,4.092283567345508,,,8,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,one_leg,screw,32,32,1.0,2.079451476635548,,,2,True
