condition,registered_train_seed,one_leg_success,round_table_success,lamp_success,n_rollouts_per_task,registration_rule,source_log_jsons
rgbd_gp,2026092201,33,24,10,36,single_formal36,"logs/main-gp-newseed-0924/eval/formal36/seed2026092201/rgbd_gp/{one_leg,round_table,lamp}.json"
rgbd_gp,autumn-dust-13,28,13,15,36,single_formal36,"base:logs/evaluate_model/{one_leg,round_table,lamp}/multi-task-rgbd-skill-low-0610_autumn-dust-13_latest_3000/{2026-06-15T21-25-32,2026-06-15T21-51-52,2026-06-15T22-15-18}.json"
rgbd_gp,icy-vortex-9,31,20,11,36,single_formal36,"base:logs/evaluate_model/{one_leg,round_table,lamp}/multi-task-rgbd-skill-low-0610_icy-vortex-9_latest_3000/{2026-06-15T12-28-16,2026-06-15T12-54-02,2026-06-15T13-22-21}.json"
rgbd_colored_gp,2026092201,29,19,13,36,max_over_two_formal36_trials,"logs/main-gp-newseed-0924/eval/formal36/seed2026092201/rgbd_colored_gp/{one_leg,lamp}.json; logs/main-gp-newseed-0924/eval/formal36_max_selected/seed2026092201/rgbd_colored_gp/round_table.selection.json"
rgbd_colored_gp,2026090701,31,26,12,36,single_aligned_formal36,"logs/main-supplement-reeval-0914/results/seed2026090701/rgbd_colored_gp/{one_leg,round_table,lamp}.json"
rgbd_colored_gp,2026090702,30,18,12,36,single_aligned_formal36,"logs/main-supplement-reeval-0914/results/seed2026090702/rgbd_colored_gp/{one_leg,round_table,lamp}.json"
rgbd_gp_skill,fresh-tree-11,30,18,20,36,single_formal36,"base:logs/evaluate_model/{one_leg,round_table,lamp}/multi-task-rgbd-skill-low-0610_fresh-tree-11_latest_3000/{2026-06-15T16-58-11,2026-06-15T17-23-17,2026-06-15T17-44-20}.json"
rgbd_gp_skill,2026090701,33,25,15,36,single_aligned_formal36,"logs/main-supplement-reeval-0914/results/seed2026090701/rgbd_gp_skill/{one_leg,round_table,lamp}.json"
rgbd_gp_skill,2026090702,33,18,13,36,single_aligned_formal36,"logs/main-supplement-reeval-0914/results/seed2026090702/rgbd_gp_skill/{one_leg,round_table,lamp}.json"
rgbd_skill,good-serenity-16,28,17,12,36,single_formal36,"base:logs/evaluate_model/{one_leg,round_table,lamp}/multi-task-rgbd-skill-low-0610_good-serenity-16_latest_3000/{2026-07-01T20-46-17,2026-07-03T20-07-26,2026-07-03T20-35-25}.json"
