condition,condition_display,n_train,skill_type,reached_count,completed_count,skill_success_rate,seed_mean,seed_sample_std,n_seed_rates
rgb,RGB,2,push,215,208,0.9674418604651163,0.9674627898926964,0.0063637162723607955,2
rgb,RGB,2,pick,350,329,0.94,0.9400143678160919,0.0035558530663116327,2
rgb,RGB,2,place,258,201,0.7790697674418605,0.7790697674418605,0.005481447916174718,2
rgb,RGB,2,insert,185,183,0.9891891891891892,0.989247311827957,0.015206597444871977,2
rgb,RGB,2,screw,182,168,0.9230769230769231,0.9228260869565217,0.03228096174982062,2
rgbd,RGB-D,2,push,216,211,0.9768518518518519,0.9768518518518519,0.0065472850109865805,2
rgbd,RGB-D,2,pick,354,348,0.9830508474576272,0.9830508474576272,0.0,2
rgbd,RGB-D,2,place,275,213,0.7745454545454545,0.7746218131810008,0.02969653994827668,2
rgbd,RGB-D,2,insert,197,195,0.9898477157360406,0.9895833333333333,0.014731391274719766,2
rgbd,RGB-D,2,screw,195,177,0.9076923076923077,0.9079418580155888,0.009831271868192968,2
rgbd_skill,RGB-D+skill,3,push,324,314,0.9691358024691358,0.9691358024691358,0.005345835825829892,3
rgbd_skill,RGB-D+skill,3,pick,517,498,0.9632495164410058,0.9631990070516218,0.009175481827271454,3
rgbd_skill,RGB-D+skill,3,place,389,300,0.7712082262210797,0.7710873116384928,0.02465522665909565,3
rgbd_skill,RGB-D+skill,3,insert,276,267,0.967391304347826,0.9674629494217123,0.010705482844295485,3
rgbd_skill,RGB-D+skill,3,screw,267,244,0.9138576779026217,0.9140442973301408,0.025066985741656878,3
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),3,push,324,314,0.9691358024691358,0.9691358024691358,0.02828750428985088,3
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),3,pick,527,517,0.9810246679316889,0.9809618518723516,0.008902458695857962,3
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),3,place,408,327,0.8014705882352942,0.8013508697685814,0.010399712194529955,3
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),3,insert,299,295,0.9866220735785953,0.9864439946018894,0.006495116266851983,3
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),3,screw,295,262,0.888135593220339,0.8880220937846994,0.08775003933575538,3
rgbd_gp,RGB-D+GP,3,push,324,322,0.9938271604938271,0.9938271604938271,0.005345835825829892,3
rgbd_gp,RGB-D+GP,3,pick,525,504,0.96,0.9599324631469576,0.020050706524422403,3
rgbd_gp,RGB-D+GP,3,place,396,332,0.8383838383838383,0.8384471484408103,0.003970850301409891,3
rgbd_gp,RGB-D+GP,3,insert,305,304,0.9967213114754099,0.9966996699669967,0.005716339298907191,3
rgbd_gp,RGB-D+GP,3,screw,304,238,0.7828947368421053,0.7814510068407361,0.04374020087808504,3
rgbd_gp_skill,RGB-D+GP+skill,3,push,324,316,0.9753086419753086,0.9753086419753086,0.014143752144925435,3
rgbd_gp_skill,RGB-D+GP+skill,3,pick,542,525,0.9686346863468634,0.9686140940656084,0.0034343429872219816,3
rgbd_gp_skill,RGB-D+GP+skill,3,place,415,361,0.8698795180722891,0.8692857898955072,0.04091102459223841,3
rgbd_gp_skill,RGB-D+GP+skill,3,insert,322,320,0.9937888198757764,0.9936456063907044,0.005509800619278692,3
rgbd_gp_skill,RGB-D+GP+skill,3,screw,319,281,0.8808777429467085,0.8821727691637088,0.07017027587180104,3
rgbd_grasp_part,RGB-D+grasp,3,push,324,309,0.9537037037037037,0.9537037037037037,0.024497697324672118,3
rgbd_grasp_part,RGB-D+grasp,3,pick,513,467,0.9103313840155945,0.9109982039562111,0.024490041326185708,3
rgbd_grasp_part,RGB-D+grasp,3,place,358,266,0.7430167597765364,0.7437545619363801,0.08150784439641337,3
rgbd_grasp_part,RGB-D+grasp,3,insert,240,233,0.9708333333333333,0.9710846163054875,0.004242287004748497,3
rgbd_grasp_part,RGB-D+grasp,3,screw,232,209,0.9008620689655172,0.9035979182589075,0.0416832353113838,3
rgbd_grasp_part_colored,RGB-D+colored grasp,3,push,324,314,0.9691358024691358,0.9691358024691358,0.005345835825829892,3
rgbd_grasp_part_colored,RGB-D+colored grasp,3,pick,522,491,0.9406130268199234,0.9408054077260172,0.027592116949353207,3
rgbd_grasp_part_colored,RGB-D+colored grasp,3,place,382,266,0.6963350785340314,0.6960906893390014,0.08679090789586585,3
rgbd_grasp_part_colored,RGB-D+colored grasp,3,insert,237,232,0.9789029535864979,0.9768346923647145,0.029472098486248037,3
rgbd_grasp_part_colored,RGB-D+colored grasp,3,screw,232,215,0.9267241379310345,0.9313211719181869,0.04908208173799715,3
