condition,condition_display,train_seed,source_batch,task,skill_state,skill_type,reached_count,completed_count,skill_success_rate
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,one_leg,top-leg-pick,pick,36,36,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,one_leg,top-leg-push,push,36,33,0.9166666666666666
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,one_leg,leg-top-pick,pick,33,33,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,one_leg,leg-top-place,place,33,29,0.8787878787878788
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,one_leg,leg-top-insert,insert,29,28,0.9655172413793104
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,one_leg,leg-top-screw,screw,28,28,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,top-leg-push,push,36,36,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,leg-top-pick,pick,36,30,0.8333333333333334
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,leg-top-place,place,30,24,0.8
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,leg-top-insert,insert,24,23,0.9583333333333334
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,leg-top-screw,screw,23,20,0.8695652173913043
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,base-leg-pick,pick,20,19,0.95
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,base-leg-place,place,19,17,0.8947368421052632
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,base-leg-insert,insert,17,17,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,round_table,base-leg-screw,screw,17,17,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,base-bulb-push,push,36,36,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,bulb-base-pick,pick,36,35,0.9722222222222222
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,bulb-base-place,place,35,18,0.5142857142857142
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,bulb-base-insert,insert,18,18,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,bulb-base-screw,screw,18,12,0.6666666666666666
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,hood-base-pick,pick,10,10,1.0
rgbd_skill,RGB-D+skill,good-serenity-16,original_main_0610,lamp,hood-base-place,place,10,10,1.0
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,one_leg,top-leg-pick,pick,36,36,1.0
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,one_leg,top-leg-push,push,36,36,1.0
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,one_leg,leg-top-pick,pick,36,36,1.0
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,one_leg,leg-top-place,place,36,34,0.9444444444444444
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,one_leg,leg-top-insert,insert,34,34,1.0
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,one_leg,leg-top-screw,screw,34,33,0.9705882352941176
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,round_table,top-leg-push,push,36,36,1.0
rgbd_colored_gp,RGB-D+colored GP (TAGPoint),absurd-voice-2,original_main_0610,round_table,leg-top-pick,pick,36,35,0.9722222222222222
