condition,condition_display,n_train,task,skill_type,reached_count,completed_count,skill_success_rate
rgb,RGB,2,one_leg,push,71,67,0.9436619718309859
rgb,RGB,2,one_leg,pick,139,138,0.9928057553956835
rgb,RGB,2,one_leg,place,67,64,0.9552238805970149
rgb,RGB,2,one_leg,insert,64,63,0.984375
rgb,RGB,2,one_leg,screw,63,62,0.9841269841269841
rgb,RGB,2,round_table,push,72,72,1.0
rgb,RGB,2,round_table,pick,126,110,0.873015873015873
rgb,RGB,2,round_table,place,110,96,0.8727272727272727
rgb,RGB,2,round_table,insert,96,95,0.9895833333333334
rgb,RGB,2,round_table,screw,94,88,0.9361702127659575
rgb,RGB,2,lamp,push,72,69,0.9583333333333334
rgb,RGB,2,lamp,pick,85,81,0.9529411764705882
rgb,RGB,2,lamp,place,81,41,0.5061728395061729
rgb,RGB,2,lamp,insert,25,25,1.0
rgb,RGB,2,lamp,screw,25,18,0.72
rgbd,RGB-D,2,one_leg,push,72,67,0.9305555555555556
rgbd,RGB-D,2,one_leg,pick,139,139,1.0
rgbd,RGB-D,2,one_leg,place,67,64,0.9552238805970149
rgbd,RGB-D,2,one_leg,insert,64,64,1.0
rgbd,RGB-D,2,one_leg,screw,64,62,0.96875
rgbd,RGB-D,2,round_table,push,72,72,1.0
rgbd,RGB-D,2,round_table,pick,126,120,0.9523809523809523
rgbd,RGB-D,2,round_table,place,120,100,0.8333333333333334
rgbd,RGB-D,2,round_table,insert,100,98,0.98
rgbd,RGB-D,2,round_table,screw,98,94,0.9591836734693877
rgbd,RGB-D,2,lamp,push,72,72,1.0
rgbd,RGB-D,2,lamp,pick,89,89,1.0
rgbd,RGB-D,2,lamp,place,88,49,0.5568181818181818
rgbd,RGB-D,2,lamp,insert,33,33,1.0
rgbd,RGB-D,2,lamp,screw,33,21,0.6363636363636364
rgbd_skill,RGB-D+skill,3,one_leg,push,108,99,0.9166666666666666
rgbd_skill,RGB-D+skill,3,one_leg,pick,207,207,1.0
